,_id,crawl_time,nick_name,gender,province,city,brief_introduction,birthday,vip_level,tweets_num,follows_num,fans_num
98,5790047682,1583816659,依希萍儿,女,其他,null,2020 一切顺利,null,4级,27,30,100
99,5558172768,1583816657,一麦田的金黄jiayou,男,其他,null,null,2000-10-03,未开通,3804,781,372
100,3119258315,1583816652,红豆只要六元,男,广东,广州,null,2003-09-29,2级,244,155,42
101,6822862628,1583816669,及及及及蹦蹦蹦蹦,男,其他,null,null,双子座,未开通,7569,2159,18
102,2104170213,1583816650,歆_xingxing,女,天津,和平区,null,01-01,未开通,195,178,142
103,6311930850,1583816661,看完猫咪好睡觉,女,重庆,null,null,2017-09-18,2级,1734,259,93
104,5430879349,1583816666,RZWRuiZhiWei,男,贵州,安顺,null,1999-01-30,未开通,362,2214,66
105,6469930001,1583816661,消妹,女,其他,null,关注消防，平安你我。,null,2级,638,60,89
106,1410409737,1583816646,糖衣阿童金,女,北京,东城区,null,null,未开通,3347,1375,235
107,1993774295,1583816649,锈钉er,女,江苏,null,null,1995-04-09,6级,2726,330,326
108,5874580040,1583816667,山河犹在国泰民安·,女,陕西,西安,null,2000-04-18,未开通,21,91,36
109,7299889945,1583816662,依依和核桃,女,江苏,null,小号,1997-09-29,未开通,149,366,17
110,5123824710,1583816654,呆头鹅姑娘,女,其他,null,等花开，等月光洒下来。,null,未开通,4721,168,46
111,3193412067,1583816652,湖泊_,女,北京,东城区,言多必有失。,null,未开通,8645,235,193
112,6163080189,1583816660,正是人间佳节,女,其他,null,小闫小闫，不能变咸！,null,未开通,44,44,2
113,5842141768,1583816666,珊莎Zoe,女,北京,null,爱生活爱老罗,1992-11-12,5级,1867,686,150
114,1712712373,1583816645,laynelin,男,其他,null,null,天蝎座,2级,7196,707,407
115,6352518628,1583816661,此乃张伟,男,其他,null,唯有自强，方可做自己。,null,未开通,41,28,12
116,1760334482,1583816647,宇宙漫游旅行指南,女,上海,null,想喝奶茶,摩羯座,4级,12585,416,4447
117,5281151572,1583816655,咕噜噜的肚子15,女,其他,null,qr jz zl lubaobao pangpang一辈子💗,null,5级,555,1361,302
118,5883334678,1583816659,清蒸肉肉_,女,其他,null,或许你喜欢梅西吗,狮子座,1级,96,28,100
119,5706025273,1583816658,诏狱的一块砖,女,湖南,永州,"No pains,no gains.",null,未开通,99,442,101
120,5500491278,1583816657,metoometoo2015,女,黑龙江,哈尔滨,null,2008-01-01,未开通,324,48,12
121,7343642826,1583816663,Helen朦儿,女,其他,null,没有一杯可乐解决不了的事情🥤,null,未开通,23,75,21
122,2134611573,1583816649,So播亲子教育,女,四川,成都,So播育儿改名为So播亲子教育啦。现在除了发布有关孕妇、育儿的消息外，我们还会发布教育信息，请大家多多关注，继续支持。,01-01,未开通,33931,386,23291
123,1692773342,1583816664,周易李秋雨,男,北京,海淀区,新浪名博！资深时事评论员，娱评人！著名周易风水专家 微信：lqy1349 电话15131189404,天秤座,未开通,45154,184,30025
124,3453024740,1583816653,影儿_1803,女,浙江,嘉兴,null,1971-11-20,1级,3710,373,759
125,2833534593,1583816652,PingWest品玩,男,海外,美国,欢迎对PingWest品玩提出各式意见。请致信 tluo@pingwest.com ；PingWest品玩北京和硅谷团队在招募网络编辑和市场人才，有意向者请致信 recruiting@pingwest.com,0001-00-00,5级,28048,753,1014477
126,5036184305,1583816654,梦想在彼岸gshd,男,重庆,null,一生所求，不过真爱与自由。,null,未开通,40,205,70
127,3039901753,1583816653,吉利丁萬事屋,男,其他,null,什么时候能吃上奥利奥吉利丁蛋糕呢 哎,null,5级,29512,199,431
128,6491586609,1583816662,Dr萌鹿少女,女,其他,null,2019.1.28 新号新人生,1996-02-25,未开通,295,66,68
129,6444725927,1583816667,吉视守望都市,男,吉林,null,null,null,5级,7957,46,1405910
130,5110696453,1583816654,万心语录,女,广东,广州,null,1989-12-09,未开通,1429,338,153
131,6858159930,1583816663,本人阅读理解零分,女,福建,null,我就是，很不甘心,水瓶座,1级,535,149,39
132,1093501641,1583816648,米粒儿艾米粒,女,北京,朝阳区,null,0001-00-00,未开通,646,41,8
133,5975076006,1583816659,团团爱吃肉丸子,女,北京,null,好运来 祝我好运来🍀,摩羯座,1级,1228,221,129
134,1740095602,1583816665,zy妍妍1023,女,黑龙江,哈尔滨,null,1986-10-23,未开通,1038,322,190
135,6001130259,1583816659,小林AW,女,其他,null,一个人，一本书，一束光。,0001-00-00,未开通,17,73,12
136,7330693919,1583816668,用户7330693919,女,山东,泰安,武汉加油,1994-10-30,未开通,21,225,1
137,2167810382,1583816665,sui哥其实很lucky,女,北京,海淀区,inner peace,01-01,未开通,1362,277,227
138,3157553601,1583816653,爱疙瘩汤的小女子,女,山东,济南,简单快乐的生活☘️🌻,null,未开通,414,301,139
139,1678312304,1583816664,秋叶飘落yu,女,四川,眉山,null,0001-00-00,未开通,7273,933,441
140,2039775782,1583816649,白云满地开冰激凌店yu,女,上海,长宁区,null,1990-02-07,未开通,8410,854,469
141,2329842612,1583816651,老猫视评,男,陕西,西安,搬运价值视频👷🏻,0001-00-00,3级,7333,303,5095
142,2074971735,1583816664,minna0807,女,广东,广州,爱运动、美食、旅行,1989-08-07,未开通,76,66,45
143,6199628445,1583816659,晒太阳的雪儿呀,女,湖南,长沙,糖耐量异常,1995-01-26,未开通,85,83,28
144,1747399135,1583816647,EVAnon,女,广东,广州,I am just a little lazy.....,1987-07-13,未开通,3754,291,335
145,1681988470,1583816647,暴走的肥肉_,女,北京,null,乐生于苦，乐极生悲,0001-00-00,2级,1343,501,258
146,5211349879,1583816655,帶只飛鳥回家,男,河南,郑州,咦。。。。。。,2001-07-18,未开通,97,361,116
147,7333490564,1583816662,享在成都,男,四川,null,null,1990-01-01,未开通,1530,37,45
148,6599731452,1583816661,娜娜酱呦,女,其他,null,余生，一只猫，一条狗，一个我,2000-02-27,未开通,76,171,13
149,5444221273,1583816656,星影驿站,女,四川,null,星影驿站-笔名:倩影伊人、代表作:如果有那一天-郭倩,null,未开通,1367,536,208
150,6025717710,1583816659,我的宝贝崽拢龙,女,四川,null,一个普通小笼包，纯粉，超纯,1997-08-25,未开通,8727,159,54
151,6112559040,1583816660,惠威的粉丝,男,湖北,null,用情专一美男子,1989-08-06,未开通,29272,499,324
152,5039780887,1583816654,Dawn667788,女,北京,null,求填问卷 多填几回无所谓 不一样就行,1998-06-21,未开通,162,74,58
153,1840085373,1583816648,很胖的胡小瘦,女,河南,郑州,一个温柔的人😂😂😂,水瓶座,未开通,1417,258,96
154,2872510124,1583816652,谁的黄黄,女,福建,null,不敢在朋友圈发的发在这里,null,5级,121,475,1185
155,6433633104,1583816661,七日陌途,女,其他,null,你别对我笑，我怕以后得不到，又忘不掉。,天蝎座,2级,398,207,86
156,1650414555,1583816646,西部网,男,陕西,西安,西部网（陕西新闻网）http://www.cnwest.com/ 是在陕西省委、省政府领导下，由省委宣传部主管主办、陕西广播电视台承办的陕西新闻门户网站，也是我…,2006-07-01,3级,143840,1122,1482240
157,5030024779,1583816666,麗妮絲,女,台湾,null,勿忘初心，活在當下。,天蝎座,5级,6173,355,614
158,1869997764,1583816645,半个大南瓜,女,其他,null,南瓜南瓜，噼里啪啦,1996-03-08,2级,2958,251,486
159,3223143115,1583816653,猫头鹰与小狐狸,女,江苏,连云港,听你，听世界，听森林。,摩羯座,1级,2138,145,211
160,5255624368,1583816655,飞上云云的大鹅,女,其他,null,☁️☁️和大ne,1998-08-06,6级,480,327,59
161,1652889677,1583816645,泉州公安,男,福建,泉州,这里是福建省泉州市公安局官方微博，我们始终坚持“听民声、纳民意、集民智”，倾听您的声音，竭诚为您服务，期待着与您互动交流。,0001-00-00,未开通,26967,2594,2953086
162,1095205491,1583816663,卜宁波,男,江苏,南京,你懂的,null,未开通,2918,245,790
163,5818894240,1583816667,谢脁21世纪粉丝,女,北京,null,保安。诗人。世界量子速读竞赛冠军🏆,1998-12-10,1级,1377,549,33
164,6838442684,1583816662,瑟缩在角落的蘑菇,女,安徽,芜湖,唯金钱和美食能给我慰藉,2000-00-01,未开通,1453,192,26
165,5245100525,1583816655,周萌萌Zzz,女,山东,潍坊,i love you three thousand,1997-11-17,1级,2280,867,368
166,2181602271,1583816650,梦梦醒醒呀,女,其他,null,庄生晓梦迷蝴蝶…,双子座,未开通,3317,191,409
167,2870646372,1583816666,一圭也,女,其他,null,幸せを守る為に、これ以上黙ってはいられない。,摩羯座,未开通,3511,156,212
168,5253047518,1583816656,kWuuuuuu,女,广东,江门,💕吴亦凡💓,天蝎座,1级,35977,455,227
169,3953828987,1583816666,Police_888888,女,北京,东城区,其路遥遥  择善而从  我爱你一如往昔,双子座,5级,421,368,367
170,2994956814,1583816666,lclchaha,女,北京,昌平区,直面生命的杂乱,1996-04-01,未开通,468,79,69
171,7281117433,1583817844,踩碎野性,女,湖北,武汉,临床在读//两只猫//喜欢豆哥解解亮晶晶,1998-12-29,3级,1104,289,138
172,5370547595,1583817841,义勇军--鬼谷子,男,广西,南宁,我宣誓：我忠于中华人民共和国宪法，维护宪法权威，履行法定职责，忠于祖国，忠于人民，恪尽职守、为和谐的社会主义国家努力奋斗！,1988-05-17,5级,122619,6126,14557002
173,2091336620,1583817847,犭苗人祸开创O号犯,女,其他,null,犭苗创始人祸0号犯,null,1级,19270,1965,649
174,1789407991,1583817834,阿斗不要赶走小八,女,四川,广安,◟̊◞̊ ◟́◞̀ ◟̆◞̆ ◡̈,1992-08-10,未开通,1900,520,400
175,1936009242,1583817834,大连突发,男,辽宁,大连,大连突发事件整合平台，时事点评，热点追踪，城事速递，寻物寻人，共建美好家园！,2001-09-11,7级,33030,77,990869
176,1400752790,1583817845,姑苏古宅,男,江苏,苏州,世界同此冷暖！,1980-04-23,未开通,8106,915,345
177,1848026213,1583817834,Torrent_Kris,男,广东,佛山,三水佬,1997-11-20,1级,4697,910,360
178,3194707311,1583817837,滨州卫生健康,男,山东,null,null,0001-00-00,未开通,2424,112,10649
179,2531722370,1583817847,念恩___,女,海外,null,原来我不是孤儿，主耶稣真的爱我.....🍭,null,未开通,970,1289,128
180,2359584270,1583817835,07Meiji,女,广东,云浮,I need freedom.,1995-12-24,未开通,19788,108,258
181,1290941937,1583817831,铭小琪,女,四川,成都,宝贵的东西总需要很费心。,0001-00-00,未开通,2151,385,739
182,1618589412,1583817832,做个灵活的胖纸,男,广东,深圳,一个混迹于大千世界的普通人,0001-00-00,未开通,2872,204,193
183,5666967544,1583817849,圆圆是真的圆ono,女,陕西,西安,放弃幻想，认清现实，依然充满希望,水瓶座,未开通,2710,242,245
184,2590130827,1583817830,天涯风行者,男,云南,西双版纳,流浪作者,0001-00-00,1级,4316,678,675
185,1652825032,1583817846,阿伦苏,男,广东,深圳,Mr.Curiosity？,狮子座,6级,16947,869,8404
186,3304494377,1583817838,无辉折一生,男,山东,青岛,半屌丝半非屌丝。。。,1987-10-31,未开通,244,269,321
187,1461572365,1583817831,湮灭的光子,男,江苏,扬州,前途是光明的，道路是曲折的,null,未开通,7545,301,510
188,6409289139,1583817850,2017于斯为盛2017,男,西藏,阿里,介于老少之间，介于好坏之间。,2016-11-12,未开通,329,81,28
189,5221222941,1583817839,广安播报,男,四川,null,null,2014-07-17,未开通,11387,26,14199
190,1073241822,1583817830,李英明律师,男,北京,null,毛泽东思想宣传员！为人民服务是立国执政的根本宗旨；共同富裕是人类文明的根本目标；毛泽东思想是人类光明的太阳！学习毛主席，正义遍人间！,天蝎座,未开通,30340,1879,69331
191,6395674897,1583817849,马蹄踏星月-,男,其他,null,拒绝宗教亵渎法，任何不接受评判的宗教都是邪教,null,未开通,11740,214,488
192,6330375560,1583817843,玖玖的风依然在,女,其他,null,孤兰生幽园，众草共芜没。虽照阳春晖，复悲高秋月。,1999-07-19,未开通,181,230,37
193,2585856293,1583817837,翻滚的咸鱼蛋,女,四川,成都,冬眠中。。。。。。,摩羯座,3级,9472,538,129
194,2074456683,1583817835,我是万老师,女,四川,成都,安心做自己。🌻,1989-01-06,未开通,9005,688,238
195,1453321221,1583817846,寂寞也是财富,男,安徽,合肥,活着不一定比死容易,1975-10-14,6级,22010,1256,78911
196,1664637123,1583817832,-晚舟-,女,广西,南宁,记录与她有关的点点滴滴。,1992-01-07,3级,1917,158,868
197,5435882101,1583817840,南柯一梦628526,男,湖南,衡阳,不断学习，完善自我！,1971-07-24,未开通,245,134,57
198,3267819732,1583817838,唧唧歪歪逛吃逛吃小确幸,女,江西,宜春,礼物不需挑最贵，只要香榭的落叶。,1995-05-14,未开通,1890,267,183
199,5728873974,1583817841,许昌微头条,男,香港,其他,本地资讯博主 公益博主  如需帮助敬请私信！,2018-10-01,未开通,19626,5282,1691
200,1731602523,1583817833,J小姐的围脖,女,北京,朝阳区,喜欢碎碎念的AB型神经质,1990-06-23,1级,5728,403,755
201,3480451427,1583817848,神游Young,男,湖南,株洲,手持书半卷，谈笑在人间。,1982-08-20,未开通,4013,63,143
202,2325535215,1583817835,爱上浪漫的人翠,女,河北,石家庄,惠英红  孙翠凤,null,未开通,19109,346,271
203,2134320173,1583817835,just一个尖叫鸡女孩,女,广东,广州,高贵路人粉 骂街型选手,1996-10-23,1级,11331,378,196
204,3867031478,1583817838,流浪的飞行家,女,北京,朝阳区,墙头众多,2008-01-01,未开通,10322,1293,169
205,1170778111,1583817844,冷的涂场,女,四川,成都,你是否还有勇气，只做你自己的你,水瓶座,未开通,5969,364,531
206,6617535293,1583817845,朱朱的甜橘0416,女,浙江,null,以为是惊鸿一瞥，未想是一生所爱,1993-07-29,5级,15784,502,349
207,2519979374,1583817836,河南安阳消防,男,河南,null,河南省安阳市消防救援支队欢迎您！,null,未开通,7928,88,8016
208,1868285755,1583817847,Ho彦洁,女,其他,null,毫无代价唱最幸福的歌,0001-00-00,4级,4271,795,456
209,1735198192,1583817846,逃生2015,男,广东,广州,保持有爱的心境，热爱世界和平，做好一個地球人。,null,未开通,4756,630,830
210,1400569700,1583817831,ALi_abc,男,北京,东城区,发现更大的世界,双鱼座,未开通,12653,290,874
211,1243126930,1583817831,imfine_thx,男,北京,房山区,愿得一人心,01-01,未开通,8833,426,350
212,5445568303,1583817840,我要表白我的男神吴亦凡,女,上海,浦东新区,不能延长生命的长度，那就拓宽生命的宽度！,1995-05-06,4级,1452,202,43
213,6859310195,1583817851,最年轻的自己就在当下,男,其他,null,人生没有太晚的开始，只要不放弃，最坏的结局，也不过是大器晚成。,摩羯座,未开通,59,87,24
214,2100777092,1583817835,跨越无限的墙,男,江苏,南京,Un sourire coute moins cher que l'électricité et donne plus de lumière.,01-01,未开通,2999,692,185
215,3282135402,1583817838,北投少年的奇幻漂流_,女,江苏,徐州,这世界全部的漂亮 不及你的可爱模样,1994-08-18,4级,1263,921,164
